,full_name_1,full_name_2,broken_name,gender
114,Αζαρίας,Αζαρία,Α-ζα-ρίας,Male
115,Αθανάσιος,Αθανάσιε,Α-θα-νά-σι-ος,Male
116,Αθανασία,Αθανασία,Α-θα-να-σία,Female
117,Αθηνά,Αθηνά,Α-θη-νά,Female
118,Αθηναγόρας,Αθηναγόρα,Α-θη-να-γό-ρας,Male
119,Αθηνοδωρής,Αθηνοδωρής,Α-θη-νο-δω-ρής,Male
120,Αθηνοδώρα,Αθηνοδώρα,Α-θη-νο-δώ-ρα,Female
121,Αθηνόδωρας,Αθηνόδωρα,Α-θη-νό-δω-ρας,Male
122,Αθηνόδωρος,Αθηνόδωρε,Α-θη-νό-δω-ρος,Male
123,Αιθάν,Αιθάν,Αι-θάν,Male
124,Αικατερίνα,Αικατερίνα,Αι-κα-τε-ρί-να,Female
125,Αικατερίνη,Αικατερίνη,Αι-κα-τε-ρί-νη,Female
126,Αιμίλιος,Αιμίλιε,Αι-μί-λι-ος,Male
127,Αιμιλία,Αιμιλία,Αι-μι-λία,Female
128,Αιμιλιανή,Αιμιλιανή,Αι-μι-λια-νή,Female
129,Αιμιλιανός,Αιμιλιανέ,Αι-μι-λια-νός,Male
